title,href,img,loc,price,etc,lat,lng,addr
애월 바람타고|전기스쿠터,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111703958,https://www.jejumobile.kr/datas/febdc69d62c39641f2590647e9d8fc0f.jpg,제주시 서부,"13,000",예약필수,33.4619478,126.3295244,대한민국 제주특별자치도 제주시 애월읍
제주 애월 본카페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111707009,https://www.jejumobile.kr/datas/212a75ddbe88b2d4bacfc5806b18d22d.jpg,제주시 서부,"9,000",,33.4682217,126.3317615,대한민국 제주특별자치도 제주시 애월읍 애월해안로 177
애월카페 푸르곤,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111716515,https://www.jejumobile.kr/datas/5d5a83c5bd5b9b6fd8fd689433fed541.jpg,제주시 서부,"9,000",,33.4377821,126.3366244,"대한민국 제주특별자치도 제주시 특별자치도, 애월읍 납읍로 84 KR"
중문승마체험|오프로드체험장,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111768337,https://www.jejumobile.kr/datas/1ac8d0c965d18849dc62757dd93ec918.jpg,서귀포시,"16,000",,0.0,0.0,
J1카트클럽 양궁13발|제이원카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111605108,https://www.jejumobile.kr/datas/aa41701b075a6a4d21803b90cac52a97.jpg,제주시,"4,500",,33.480402,126.5267633,대한민국 제주특별자치도 제주시 도남동
J1카트클럽 알파카 먹이주기 체험|제이원카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111606122,https://www.jejumobile.kr/datas/1a234c2c8a8ac4e8a3c0711d099eff7f.jpg,제주시,"4,500",,33.480402,126.5267633,대한민국 제주특별자치도 제주시 도남동
J1카트클럽 패키지|카트+양궁,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111696976,https://www.jejumobile.kr/datas/57e3a065a78a4fded358dfb376c5a1b2.jpg,제주시,"20,900",,33.480402,126.5267633,대한민국 제주특별자치도 제주시 도남동
성산|우도 선상낚시|제주배낚시|우도 낚시,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111446270,https://www.jejumobile.kr/datas/bea19d01811c2d177e3ec5be924489da.jpg,서귀포시 동부,"23,000",예약필수,33.4723676,126.9324134,대한민국 제주특별자치도 서귀포시 성산읍 성산등용로 129-21
성산포유람선|우도유람선|성산유람선|제주유람선,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111179252,https://www.jejumobile.kr/datas/5d80257c0d063cbaea75a8beb2729c4d.jpg,서귀포시 동부,"10,000",예약필수,33.4729122,126.934245,대한민국 서귀포시 제주특별자치도 서귀포시 성산읍 성산등용로 112-7
미술관옆동물농장|동물원|전시|미술품|테마파크|야외관광지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111662143,https://www.jejumobile.kr/datas/342c853b85422d07f238f64f93123096.jpg,제주시,"13,500",,0.0,0.0,
제주아트서커스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111675400,https://www.jejumobile.kr/datas/7a0653a5e5e1743641f07508025b0063.jpg,서귀포시,"13,500",예약필수,33.3143555,126.3448039,대한민국 제주특별자치도 서귀포시 안덕면 동광로 214
방림원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111275360,https://www.jejumobile.kr/datas/34842d2909087a3497ff0192f02c652e.jpg,제주시 서부,"4,500",,33.3370712,126.2687794,"대한민국 제주특별자치도 제주시 특별자치도, 한경면 용금로 864 방림원"
윈드WIND1947 서바이벌,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111589341,https://www.jejumobile.kr/datas/283453dadf827b81a010feb8f38ea327.jpg,서귀포시,"10,500",,33.2890188,126.5875565,대한민국 제주특별자치도 서귀포시 토평동 토평공단로 78-27
제주 토스카나호텔  힐링 맘 패키지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111599882,https://www.jejumobile.kr/datas/ad466151f5787f7bb748e9072a99da9c.jpg,서귀포시,"159,900",,33.2654708,126.4842819,"대한민국 제주특별자치도 서귀포시 특별자치도, 강정동 3700-4 KR"
서프라이즈테마파크,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111638382,https://www.jejumobile.kr/datas/abdc9199a09f70999f59e76927e4bc8f.jpg,제주시 동부,"8,000",,33.4651936,126.6572189,"대한민국 제주특별자치도 제주시 특별자치도, 조천읍 와흘리 산13-82 KR"
제주 토스카나호텔 커플패키지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111734940,https://www.jejumobile.kr/datas/21ddae240a7f4c857ded794b5b046ac0.jpg,서귀포시,"155,900",예약필수,33.2654708,126.4842819,"대한민국 제주특별자치도 서귀포시 특별자치도, 강정동 3700-4 KR"
노형수퍼마켙_미디어아트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111564267,https://www.jejumobile.kr/datas/c92d9794380f606d662a6bd20ad2dbd1.jpg,제주시,"10,000",,33.4649309,126.4553144,"대한민국 제주특별자치도 제주시 특별자치도, 해안동 2137-1"
대유ATV수렵사격랜드  - 버기카,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111567996,https://www.jejumobile.kr/datas/731208ca3d4c21f56c93c0ecf686a2e7.jpg,서귀포시 서부,"72,000",예약필수,33.2777041,126.3953828,대한민국 제주특별자치도 서귀포시 상예동 144
제주꺼우다 의상체험_전통해녀복,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111627004,https://www.jejumobile.kr/datas/5a72afb0d3ddfc1e6858bc8107730e79.jpg,제주시 서부,"20,000",,33.4615296,126.3120811,"대한민국 제주특별자치도 제주시 특별자치도, 애월읍 애월리 2481-3번지"
제주꺼우다 천연꽃향수만들기 체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111628987,https://www.jejumobile.kr/datas/13761552d0684e56891b070362c6e98c.jpg,제주시 서부,"15,000",예약필수,33.4615296,126.3120811,"대한민국 제주특별자치도 제주시 특별자치도, 애월읍 애월리 2481-3번지"
제주성산 투명카약 문보트_오조리레저파크,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111563182,https://www.jejumobile.kr/datas/b679cb60352ebf7ad03d5f4c8c5d1eb7.jpg,서귀포시 동부,"16,000",,33.454662,126.9237486,대한민국 서귀포시 성산읍 고성리 275-2
스토리캐슬_EP1 더 신데렐라,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111547466,https://www.jejumobile.kr/datas/4641a8257df5804a2cffa49d7bfe39fa.jpg,서귀포시,"10,000",,0.0,0.0,
중문오프로드체험장,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111233798,https://www.jejumobile.kr/datas/e57405257bdba71b0312aee499a7ac14.jpg,서귀포시,"80,000",,33.2757409,126.3970823,대한민국 서귀포시
뷰제주하늘승마ATV - 승마 산책코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111262025,https://www.jejumobile.kr/datas/883423a0eeff3cbaae68324fa7c702fb.jpg,서귀포시 동부,"17,000",,33.4132503,126.8328335,대한민국 제주특별자치도 서귀포시 성산읍 서성일로 397
뷰제주하늘승마ATV - 승마 트랙코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111265171,https://www.jejumobile.kr/datas/468a9bc90715c1071528c1aed81560ec.jpg,서귀포시 동부,"9,000",,33.4132503,126.8328335,대한민국 제주특별자치도 서귀포시 성산읍 서성일로 397
뷰제주하늘승마ATV - 승마 오름트레킹코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111265666,https://www.jejumobile.kr/datas/faf88204361556d710a57fb582a5c79c.jpg,서귀포시 동부,"37,000",,33.4132503,126.8328335,대한민국 제주특별자치도 서귀포시 성산읍 서성일로 397
뷰제주하늘승마ATV - 승마 목장코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111268256,https://www.jejumobile.kr/datas/85b5c17887f25bb65c291ca6fc7265d5.jpg,서귀포시 동부,"23,000",,33.4132503,126.8328335,대한민국 제주특별자치도 서귀포시 성산읍 서성일로 397
