장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
2824,윈스카이 호텔,제주특별자치도 서귀포시 신중남로 17,숙박,33.2531735,126.5084986,2019-11-21,2019-11-21,제주특별자치도 서귀포시 대천동 162-2,y
2859,앞뱅이식당,제주특별자치도 제주시 선덕로 32,식당,33.4853978,126.499937,2019-11-28,2019-11-28,제주특별자치도 제주시 연동 324-1,y
2813,해든빌레펜션,제주특별자치도 서귀포시 자배오름로139번길 151,숙박,33.2917886,126.661793,2019-11-21,2019-11-21,제주특별자치도 서귀포시 남원읍 위미리 2505-6,y
3168,한라수목원,제주특별자치도 제주시 성화로10길 26-6,관광,33.468846,126.4917753,2020-01-17,2020-01-17,제주특별자치도 제주시 연동 1010,y
3239,한진렌트카,제주특별자치도 제주시 용문로 16,렌트카,33.5048535,126.4980259,2020-01-26,2020-01-26,제주특별자치도 제주시 용담2동 1524,y
3254,콴도,제주특별자치도 제주시 애월북서길 52,숙박,33.2764296,126.6648929,2020-01-28,2020-01-28,제주특별자치도 서귀포시 남원읍 위미리 1991-1,y
3257,데일리오아시스,제주특별자치도 제주시 용마로2길 5,카페,33.515121,126.5048106,2020-01-28,2020-01-28,제주특별자치도 제주시 용담2동 993-15,y
3059,친봉산장,제주특별자치도 제주시 송당7길 3,카페,33.4711555,126.7866083,2020-01-03,2020-01-03,제주특별자치도 제주시 구좌읍 송당리 1389-6,y
3143,마가리따은혜씨,제주특별자치도 서귀포시 일출로 258-11 삼다식당,카페,33.4610508,126.934286,2020-01-14,2020-01-14,제주특별자치도 서귀포시 성산읍 성산리 140-8,y
3038,하나렌트카,제주특별자치도 제주시 성화로1길 5-3,렌트카,33.5101563,126.5043041,2019-12-29,2019-12-29,제주특별자치도 제주시 용담2동 885-4,y
3107,라인렌트카,제주특별자치도 제주시 서문로 4 서림타워,렌트카,33.509126,126.5120127,2020-01-09,2020-01-09,제주특별자치도 제주시 용담1동 243-5,y
3163,성읍민속마을,제주특별자치도 제주시 성화로10길 26-6,관광,33.3852221,126.8007323,2020-01-17,2020-01-17,제주특별자치도 서귀포시 표선면 성읍리 778,y
3164,정방폭포,제주특별자치도 제주시 성화로10길 26-6,관광,33.2446765,126.5718001,2020-01-17,2020-01-17,제주특별자치도 서귀포시 동홍동,y
3166,약천사,제주특별자치도 제주시 성화로10길 26-6,관광,33.2419518,126.4591046,2020-01-17,2020-01-17,제주특별자치도 서귀포시 대천동 521,y
3167,산방산 용머리해안,제주특별자치도 제주시 성화로10길 26-6,관광,33.2393842,126.3143192,2020-01-17,2020-01-17,제주특별자치도 서귀포시 안덕면 사계리 산16,y
3180,삼성혈해물탕,제주특별자치도 제주시 선덕로5길 20,식당,33.4879529,126.4997037,2020-01-19,2020-01-19,제주특별자치도 제주시 연동 312-27,y
3185,곽지해녀의집,제주특별자치도 제주시 곽지11길 27,식당,33.4538388,126.3065473,2020-01-19,2020-01-19,제주특별자치도 제주시 애월읍 곽지리 1565-37,y
3371,제주올레렌트카,제주특별자치도 제주시 연미길 42,렌트카,33.48994,126.5058645,2020-05-15,2020-05-15,제주특별자치도 제주시 오라동 2094-2,y
3474,한담해변,제주특별자치도 제주시 노연로 80 메종글래드 제주,카페,33.4604279,126.3128072,2020-07-07,2020-07-07,제주특별자치도 제주시 애월읍 애월리 2185,y
3475,새별오름,제주특별자치도 제주시 노연로 80 메종글래드 제주,관광,33.3605827,126.359135,2020-07-07,2020-07-07,제주특별자치도 제주시 애월읍 봉성리 4554-12,y
3550,섭지코지,,관광,33.4270147,126.9286445,2020-08-09,2020-08-09,제주특별자치도 서귀포시 성산읍 고성리 100-1,y
3577,더아트스테이 호텔,제주특별자치도 제주시 신북로 529,호텔,33.5418416,126.6664264,2020-09-23,2020-09-23,제주특별자치도 제주시 조천읍 함덕리 1270-3,y
