,title,href,img,loc,price,etc
29,메종글래드 삼다정 디너뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111434783,https://www.jejumobile.kr/datas/10a1f6139da3b84e0b59046d133899de.jpg,제주시,"54,200",예약필수
30,메종글래드 삼다정 런치뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111431451,https://www.jejumobile.kr/datas/e7a21257e96723ce32fc27ff2abdd927.jpg,제주시,"31,700",예약필수
31,메이즈랜드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111173030,https://www.jejumobile.kr/datas/5ed12a251a53fd1a83ce6759648b7e88.jpg,제주시 동부,"7,500",
32,맛의고수 |애월맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111414343,https://www.jejumobile.kr/datas/102ccf16a0e03c8b984fb56b527e102b.jpg,제주시 서부,"9,500",
33,제주연동흑돼지숯불구이_원조 제원 깡통 숯불구이,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111550714,https://www.jejumobile.kr/datas/aeb615bb7168bb9052ae9cde6312c4aa.jpg,제주시,"33,250",
34,봄그리고가을리조트 조식 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111437764,https://www.jejumobile.kr/datas/1eb70f91e456d267332ccea2b4072352.jpg,서귀포시 동부,"11,200",
35,제주 토스카나호텔 까보스코 레스토랑 다이닝 디너,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111508363,https://www.jejumobile.kr/datas/403f2529f1b51a8f3fe44429dd3cb9c2.jpg,서귀포시,"49,500",예약필수
36,생돈우리 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111407202,https://www.jejumobile.kr/datas/bcab1ca81b2817889928e18a52bd1aa7.jpg,제주시,"30,000",예약필수
37,돔베보이 중문점|제주맛집,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111730505,https://www.jejumobile.kr/datas/113782e2c5b747be06ebaaa984038359.jpg,서귀포시,"16,100",
38,카페 에그인 선셋|제주|한림,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111752925,https://www.jejumobile.kr/datas/bf19a563988c8a07f93b3e41d6614d06.jpg,제주시 서부,"9,000",
39,서귀포잠수함,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177816,https://www.jejumobile.kr/datas/4a653b9e04eeadfd6b6b4294834216e1.jpg,서귀포시,"39,000",예약필수
40,봄그리고가을리조트 석식 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111432984,https://www.jejumobile.kr/datas/0328ffe01a462363f90ec9ee6e214ec6.jpg,서귀포시 동부,"17,800",예약필수
41,만조이천쌀밥 성산점 |서귀포맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177743,https://www.jejumobile.kr/datas/860c9702bbe7a93a0a22d889227f742d.jpg,서귀포시 동부,"27,000",
42,영주말가든 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177194,https://www.jejumobile.kr/datas/be1a2c5b8c3bc0f37942687b7a0e1f28.jpg,제주시,"28,700",예약필수
43,제주 토스카나호텔 까보스코 레스토랑 조식뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111504852,https://www.jejumobile.kr/datas/a7e98a275dce8474c20d42b7f1b3a9d3.jpg,서귀포시,"17,200",예약필수
44,밀라네사뷔페 |제주뷔페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111394325,https://www.jejumobile.kr/datas/63c0ff40f8a3bde525ca79e96e7a29eb.jpg,제주시,"15,900",
45,오설록 티뮤지엄_A세트 |서귀포디저트|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111293468,https://www.jejumobile.kr/datas/bcec8e775c702178a32521a65bc6de17.jpg,서귀포시 서부,"17,100",
46,카멜리아힐+동백한입_카페음료 교환권,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111581851,https://www.jejumobile.kr/datas/da3c8797cdb35b128aff5b39ef114184.jpg,서귀포시 서부,"10,000",
47,낙지마당 |서귀포맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111397065,https://www.jejumobile.kr/datas/7ca46fb9d3187f122cd3fe0b5439247b.jpg,서귀포시,"29,000",
48,그랜드조선제주 루브리카_프리픽스|다이닝레스토랑|제주레스토랑|중문|호텔,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111650714,https://www.jejumobile.kr/datas/82204c6e39a0529579407c38d54e0136.jpg,서귀포시,"46,000",예약필수
49,망고레이 천지연폭포점 |서귀포카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111175465,https://www.jejumobile.kr/datas/6b10bf5fdfcfc186258fe0ca41c96e0b.JPG,서귀포시,"5,900",
50,바다하늘 패러글라이딩체험_사전예약필수,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177106,https://www.jejumobile.kr/datas/1db7ba526375ea9753429b4c0acc6e5f.jpg,제주시 서부,"89,000",예약필수
51,천지연무태장어 난산본점,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111575835,https://www.jejumobile.kr/datas/1575c0655ef9fcadd77fc0301006931a.jpg,서귀포시 동부,"60,000",
52,오설록 티뮤지엄_그린티아이스크림 |서귀포디저트|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111307150,https://www.jejumobile.kr/datas/dd4794828f11cdca7ec6beaba1439a52.jpg,서귀포시 서부,"4,500",
53,제주 그림카페|항공우주박물관4층|제주카페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111496952,https://www.jejumobile.kr/datas/3c151e3b2de2e86ff72a67641446ffde.jpg,서귀포시 서부,"8,900",
54,해비치호텔앤드리조트 하노루,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111445642,https://www.jejumobile.kr/datas/fbcd50fb9d8ee2e28ee1fd17a1f88a12.jpg,서귀포시 동부,"167,400",예약필수
55,망고레이 섭지코지점 |성산카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111179338,https://www.jejumobile.kr/datas/19a9b68580a126c00492ea34257e861a.JPG,서귀포시 동부,"5,900",
56,쉬멍해장국 제주본점 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111355994,https://www.jejumobile.kr/datas/9a2a7b2b486797746d4dab9424a27f01.jpg,제주시,"8,000",
57,진질해녀식당|제주한림맛집,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111743494,https://www.jejumobile.kr/datas/3ae2c05597f8733f9c2ed50a5321ec6a.jpg,"제주시,제주시 서부","28,500",
58,망고홀릭 성산점 |서귀포카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111599005,https://www.jejumobile.kr/datas/970af9da4aa46aaa1ce851e8aac1ecbd.jpg,서귀포시 동부,"9,000",
59,카페 낭뜰,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111614125,https://www.jejumobile.kr/datas/cedac16b678649f3b7806df35cbf209d.jpg,"제주시,제주시 서부","8,500",예약필수
60,제주실탄사격장_중문랜드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177658,https://www.jejumobile.kr/datas/e5be96111d7f9242fd6c284170b8f46d.jpg,서귀포시,"8,000",
61,치르메스치킨 노형점|치킨맛집|노형치킨,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111744985,https://www.jejumobile.kr/datas/f62d78a03de8ec3a5aa2ad50a9ddea13.jpg,제주시,"15,000",예약필수
62,마라도 환상의짜장 |서귀포맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111274969,https://www.jejumobile.kr/datas/6f802296d6c1bed4efccb36df16613b6.jpg,서귀포시 서부,"7,000",
63,레아 드레스앤카페 카페이용권|스튜디오카페|아메리카노,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111550082,https://www.jejumobile.kr/datas/5f4b1bc0d9f09b40f256cec4e20c176b.jpg,제주시,"9,000",
64,디저트팩토리 쇠소깍점 |제주카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111351817,https://www.jejumobile.kr/datas/fcc92e9c586f49e6934491a57438a234.jpg,서귀포시,"4,500",
65,신흥바다낚시공원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111408469,https://www.jejumobile.kr/datas/b3b75d3ea277b45402c0a0223fc23b8e.jpg,제주시 동부,"18,000",
66,곱은달 한라봉 청만들기 체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111759947,https://www.jejumobile.kr/datas/c363dfb3a9d711102dcafacc9c7735cb.jpg,서귀포시 동부,"15,000",
67,애월 바람타고|전기스쿠터,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111703958,https://www.jejumobile.kr/datas/febdc69d62c39641f2590647e9d8fc0f.jpg,제주시 서부,"13,000",예약필수
68,제주 애월 본카페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111707009,https://www.jejumobile.kr/datas/212a75ddbe88b2d4bacfc5806b18d22d.jpg,제주시 서부,"9,000",
69,애월카페 푸르곤,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111716515,https://www.jejumobile.kr/datas/5d5a83c5bd5b9b6fd8fd689433fed541.jpg,제주시 서부,"9,000",
70,중문승마체험|오프로드체험장,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111768337,https://www.jejumobile.kr/datas/1ac8d0c965d18849dc62757dd93ec918.jpg,서귀포시,"16,000",
71,J1카트클럽 양궁13발|제이원카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111605108,https://www.jejumobile.kr/datas/aa41701b075a6a4d21803b90cac52a97.jpg,제주시,"4,500",
72,J1카트클럽 알파카 먹이주기 체험|제이원카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111606122,https://www.jejumobile.kr/datas/1a234c2c8a8ac4e8a3c0711d099eff7f.jpg,제주시,"4,500",
73,J1카트클럽 패키지|카트+양궁,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111696976,https://www.jejumobile.kr/datas/57e3a065a78a4fded358dfb376c5a1b2.jpg,제주시,"20,900",
74,성산|우도 선상낚시|제주배낚시|우도 낚시,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111446270,https://www.jejumobile.kr/datas/bea19d01811c2d177e3ec5be924489da.jpg,서귀포시 동부,"23,000",예약필수
75,성산포유람선|우도유람선|성산유람선|제주유람선,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111179252,https://www.jejumobile.kr/datas/5d80257c0d063cbaea75a8beb2729c4d.jpg,서귀포시 동부,"10,000",예약필수
76,미술관옆동물농장|동물원|전시|미술품|테마파크|야외관광지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111662143,https://www.jejumobile.kr/datas/342c853b85422d07f238f64f93123096.jpg,제주시,"13,500",
77,제주아트서커스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111675400,https://www.jejumobile.kr/datas/7a0653a5e5e1743641f07508025b0063.jpg,서귀포시,"13,500",예약필수
78,방림원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111275360,https://www.jejumobile.kr/datas/34842d2909087a3497ff0192f02c652e.jpg,제주시 서부,"4,500",
79,윈드WIND1947 서바이벌,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111589341,https://www.jejumobile.kr/datas/283453dadf827b81a010feb8f38ea327.jpg,서귀포시,"10,500",
80,제주 토스카나호텔  힐링 맘 패키지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111599882,https://www.jejumobile.kr/datas/ad466151f5787f7bb748e9072a99da9c.jpg,서귀포시,"159,900",
81,서프라이즈테마파크,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111638382,https://www.jejumobile.kr/datas/abdc9199a09f70999f59e76927e4bc8f.jpg,제주시 동부,"8,000",
82,제주 토스카나호텔 커플패키지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111734940,https://www.jejumobile.kr/datas/21ddae240a7f4c857ded794b5b046ac0.jpg,서귀포시,"155,900",예약필수
